Pale;Alpha;x;y;z;Lutning;L;Insp;Emodul;Gmodul;Area;Ix;kv;bx;by;kd;Le;LastId;N;Mx;My;Mmax;ZMmax;Teta;T;Vx;Vy;Vmax;ZVmax;dx;dy;dz;rx;ry;rz;krddz;δx(z);δx(z);δx(z);δx(z);δx(z);δx(z);δx(z);δx(z);δx(z);δx(z);δx(z);δx(z);δx(z);δx(z);δx(z);δx(z);δx(z);δx(z);δx(z);δx(z);δx(z);δx(z);δx(z);δx(z);δx(z);δx(z);δx(z);δx(z);δx(z);δx(z);δx(z);δy(z);δy(z);δy(z);δy(z);δy(z);δy(z);δy(z);δy(z);δy(z);δy(z);δy(z);δy(z);δy(z);δy(z);δy(z);δy(z);δy(z);δy(z);δy(z);δy(z);δy(z);δy(z);δy(z);δy(z);δy(z);δy(z);δy(z);δy(z);δy(z);δy(z);δy(z);Mx(z);Mx(z);Mx(z);Mx(z);Mx(z);Mx(z);Mx(z);Mx(z);Mx(z);Mx(z);Mx(z);Mx(z);Mx(z);Mx(z);Mx(z);Mx(z);Mx(z);Mx(z);Mx(z);Mx(z);Mx(z);Mx(z);Mx(z);Mx(z);Mx(z);Mx(z);Mx(z);Mx(z);Mx(z);Mx(z);Mx(z);My(z);My(z);My(z);My(z);My(z);My(z);My(z);My(z);My(z);My(z);My(z);My(z);My(z);My(z);My(z);My(z);My(z);My(z);My(z);My(z);My(z);My(z);My(z);My(z);My(z);My(z);My(z);My(z);My(z);My(z);My(z);
10;180,00;-3,90;0,00;0,00;4,00;30,00;False;33000000,00;12000000,00;0,1094;0,0005879;0,0000000;0,32;0,27;4615,00;2,03;10;1012,94;0,00;0,00;33,69;0,00;0,00;0,00;49,16;16,90;51,99;0,00;10,52;3,62;8,42;0,00;0,00;0,00;0,50;10,52;7,97;5,65;3,70;2,16;1,01;0,21;-0,29;-0,57;-0,69;-0,70;-0,63;-0,53;-0,42;-0,32;-0,22;-0,14;-0,08;-0,03;0,00;0,02;0,03;0,03;0,03;0,03;0,02;0,02;0,01;0,01;0,01;0,00;3,62;2,74;1,94;1,27;0,74;0,35;0,07;-0,10;-0,20;-0,24;-0,24;-0,22;-0,18;-0,15;-0,11;-0,08;-0,05;-0,03;-0,01;0,00;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,00;0,00;0,00;0,00;0,00;6,54;9,90;11,01;10,64;9,40;7,75;6,00;4,37;2,95;1,81;0,93;0,31;-0,09;-0,33;-0,45;-0,48;-0,45;-0,39;-0,31;-0,24;-0,17;-0,11;-0,07;-0,03;-0,01;0,01;0,02;0,02;0,02;0,02;0,00;-19,01;-28,80;-32,03;-30,95;-27,34;-22,54;-17,46;-12,70;-8,58;-5,25;-2,72;-0,91;0,27;0,97;1,31;1,39;1,30;1,13;0,91;0,70;0,50;0,33;0,19;0,09;0,02;-0,02;-0,05;-0,06;-0,06;-0,05;
10;180,00;-3,90;0,00;0,00;4,00;30,00;False;33000000,00;12000000,00;0,1094;0,0005879;0,0000000;0,32;0,27;4615,00;2,03;11;1268,63;0,00;0,00;28,31;0,00;0,00;0,00;34,54;26,75;43,69;0,00;7,39;5,72;10,54;0,00;0,00;0,00;0,50;7,39;5,60;3,97;2,60;1,52;0,71;0,15;-0,21;-0,40;-0,49;-0,49;-0,45;-0,38;-0,30;-0,22;-0,15;-0,10;-0,05;-0,02;0,00;0,01;0,02;0,02;0,02;0,02;0,02;0,01;0,01;0,01;0,00;0,00;5,72;4,34;3,08;2,01;1,17;0,55;0,12;-0,16;-0,31;-0,38;-0,38;-0,34;-0,29;-0,23;-0,17;-0,12;-0,08;-0,04;-0,02;0,00;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,00;0,00;0,00;0,00;10,34;15,67;17,43;16,84;14,88;12,26;9,50;6,91;4,67;2,86;1,48;0,50;-0,15;-0,53;-0,71;-0,75;-0,71;-0,61;-0,50;-0,38;-0,27;-0,18;-0,11;-0,05;-0,01;0,01;0,03;0,03;0,03;0,03;0,00;-13,35;-20,23;-22,50;-21,74;-19,21;-15,83;-12,27;-8,92;-6,03;-3,69;-1,91;-0,64;0,19;0,68;0,92;0,97;0,92;0,79;0,64;0,49;0,35;0,23;0,14;0,07;0,02;-0,02;-0,03;-0,04;-0,04;-0,04;
10;180,00;-3,90;0,00;0,00;4,00;30,00;False;33000000,00;12000000,00;0,1094;0,0005879;0,0000000;0,32;0,27;4615,00;2,03;12;1215,06;0,00;0,00;34,34;0,00;0,00;0,00;50,07;17,36;53,00;0,00;10,72;3,72;10,10;0,00;0,00;0,00;0,50;10,72;8,12;5,76;3,77;2,20;1,03;0,22;-0,30;-0,59;-0,70;-0,71;-0,65;-0,54;-0,43;-0,32;-0,22;-0,14;-0,08;-0,03;0,00;0,02;0,03;0,03;0,03;0,03;0,02;0,02;0,01;0,01;0,01;0,00;3,72;2,81;2,00;1,31;0,76;0,36;0,08;-0,10;-0,20;-0,24;-0,25;-0,22;-0,19;-0,15;-0,11;-0,08;-0,05;-0,03;-0,01;0,00;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,00;0,00;0,00;0,00;0,00;6,71;10,17;11,31;10,93;9,66;7,96;6,17;4,48;3,03;1,85;0,96;0,32;-0,10;-0,34;-0,46;-0,49;-0,46;-0,40;-0,32;-0,25;-0,18;-0,12;-0,07;-0,03;-0,01;0,01;0,02;0,02;0,02;0,02;0,00;-19,36;-29,33;-32,62;-31,52;-27,85;-22,96;-17,78;-12,93;-8,74;-5,35;-2,77;-0,93;0,28;0,99;1,33;1,41;1,33;1,15;0,93;0,71;0,51;0,33;0,20;0,09;0,02;-0,02;-0,05;-0,06;-0,06;-0,06;
10;180,00;-3,90;0,00;0,00;4,00;30,00;False;33000000,00;12000000,00;0,1094;0,0005879;0,0000000;0,32;0,27;4615,00;2,03;13;1206,62;0,00;0,00;31,66;0,00;0,00;0,00;40,31;27,61;48,86;0,00;8,63;5,91;10,03;0,00;0,00;0,00;0,50;8,63;6,54;4,64;3,04;1,77;0,83;0,17;-0,24;-0,47;-0,57;-0,57;-0,52;-0,44;-0,35;-0,26;-0,18;-0,11;-0,06;-0,03;0,00;0,01;0,02;0,02;0,02;0,02;0,02;0,01;0,01;0,01;0,00;0,00;5,91;4,48;3,18;2,08;1,21;0,57;0,12;-0,16;-0,32;-0,39;-0,39;-0,36;-0,30;-0,24;-0,18;-0,12;-0,08;-0,04;-0,02;0,00;0,01;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,00;0,00;0,00;0,00;10,68;16,18;17,99;17,39;15,36;12,66;9,81;7,13;4,82;2,95;1,53;0,51;-0,15;-0,55;-0,73;-0,78;-0,73;-0,63;-0,51;-0,39;-0,28;-0,18;-0,11;-0,05;-0,01;0,01;0,03;0,03;0,03;0,03;0,00;-15,59;-23,61;-26,26;-25,38;-22,42;-18,48;-14,32;-10,41;-7,04;-4,31;-2,23;-0,75;0,22;0,80;1,07;1,14;1,07;0,92;0,75;0,57;0,41;0,27;0,16;0,08;0,02;-0,02;-0,04;-0,05;-0,05;-0,04;
10;180,00;-3,90;0,00;0,00;4,00;30,00;False;33000000,00;12000000,00;0,1094;0,0005879;0,0000000;0,32;0,27;4615,00;2,03;14;1531,71;0,00;0,00;42,70;0,00;0,00;0,00;59,29;28,74;65,89;0,00;12,69;6,15;12,73;0,00;0,00;0,00;0,50;12,69;9,61;6,82;4,46;2,60;1,22;0,26;-0,35;-0,69;-0,83;-0,84;-0,76;-0,65;-0,51;-0,38;-0,26;-0,17;-0,09;-0,04;0,00;0,02;0,03;0,04;0,04;0,03;0,03;0,02;0,01;0,01;0,01;0,00;6,15;4,66;3,30;2,16;1,26;0,59;0,12;-0,17;-0,34;-0,40;-0,41;-0,37;-0,31;-0,25;-0,18;-0,13;-0,08;-0,05;-0,02;0,00;0,01;0,02;0,02;0,02;0,02;0,01;0,01;0,01;0,00;0,00;0,00;0,00;11,11;16,83;18,72;18,09;15,98;13,17;10,20;7,42;5,01;3,07;1,59;0,53;-0,16;-0,57;-0,76;-0,81;-0,76;-0,66;-0,53;-0,41;-0,29;-0,19;-0,11;-0,05;-0,01;0,01;0,03;0,03;0,03;0,03;0,00;-22,92;-34,73;-38,63;-37,33;-32,98;-27,18;-21,06;-15,31;-10,35;-6,33;-3,28;-1,10;0,33;1,17;1,58;1,67;1,57;1,36;1,10;0,84;0,60;0,39;0,23;0,11;0,03;-0,03;-0,06;-0,07;-0,07;-0,07;
10;180,00;-3,90;0,00;0,00;4,00;30,00;False;33000000,00;12000000,00;0,1094;0,0005879;0,0000000;0,32;0,27;4615,00;2,03;15;1254,77;0,00;0,00;30,46;0,00;0,00;0,00;33,94;32,52;47,01;0,00;7,26;6,96;10,43;0,00;0,00;0,00;0,50;7,26;5,50;3,90;2,56;1,49;0,70;0,15;-0,20;-0,40;-0,48;-0,48;-0,44;-0,37;-0,29;-0,22;-0,15;-0,10;-0,05;-0,02;0,00;0,01;0,02;0,02;0,02;0,02;0,02;0,01;0,01;0,01;0,00;0,00;6,96;5,27;3,74;2,45;1,43;0,67;0,14;-0,19;-0,38;-0,46;-0,46;-0,42;-0,35;-0,28;-0,21;-0,15;-0,09;-0,05;-0,02;0,00;0,01;0,02;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,00;0,00;0,00;12,57;19,05;21,19;20,48;18,09;14,91;11,55;8,40;5,68;3,47;1,80;0,60;-0,18;-0,64;-0,86;-0,92;-0,86;-0,75;-0,60;-0,46;-0,33;-0,22;-0,13;-0,06;-0,02;0,01;0,03;0,04;0,04;0,04;0,00;-13,12;-19,88;-22,11;-21,37;-18,88;-15,56;-12,05;-8,76;-5,92;-3,62;-1,88;-0,63;0,19;0,67;0,90;0,96;0,90;0,78;0,63;0,48;0,34;0,23;0,13;0,06;0,02;-0,02;-0,03;-0,04;-0,04;-0,04;
10;180,00;-3,90;0,00;0,00;4,00;30,00;False;33000000,00;12000000,00;0,1094;0,0005879;0,0000000;0,32;0,27;4615,00;2,03;16;1001,35;0,00;0,00;39,39;0,00;0,00;0,00;60,58;4,93;60,78;0,00;12,96;1,05;8,32;0,00;0,00;0,00;0,50;12,96;9,82;6,97;4,56;2,66;1,24;0,26;-0,36;-0,71;-0,85;-0,86;-0,78;-0,66;-0,52;-0,39;-0,27;-0,17;-0,10;-0,04;0,00;0,02;0,03;0,04;0,04;0,03;0,03;0,02;0,02;0,01;0,01;0,00;1,05;0,80;0,57;0,37;0,22;0,10;0,02;-0,03;-0,06;-0,07;-0,07;-0,06;-0,05;-0,04;-0,03;-0,02;-0,01;-0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,91;2,89;3,21;3,10;2,74;2,26;1,75;1,27;0,86;0,53;0,27;0,09;-0,03;-0,10;-0,13;-0,14;-0,13;-0,11;-0,09;-0,07;-0,05;-0,03;-0,02;-0,01;0,00;0,00;0,00;0,01;0,01;0,01;0,00;-23,42;-35,49;-39,47;-38,14;-33,70;-27,77;-21,51;-15,64;-10,57;-6,47;-3,35;-1,13;0,34;1,20;1,61;1,71;1,61;1,39;1,13;0,86;0,61;0,40;0,24;0,11;0,03;-0,03;-0,06;-0,07;-0,07;-0,07;
10;180,00;-3,90;0,00;0,00;4,00;30,00;False;33000000,00;12000000,00;0,1094;0,0005879;0,0000000;0,32;0,27;4615,00;2,03;17;1027,32;0,00;0,00;41,16;0,00;0,00;0,00;62,50;11,35;63,52;0,00;13,38;2,43;8,54;0,00;0,00;0,00;0,50;13,38;10,13;7,19;4,71;2,74;1,28;0,27;-0,37;-0,73;-0,88;-0,89;-0,81;-0,68;-0,54;-0,40;-0,28;-0,18;-0,10;-0,04;0,00;0,02;0,03;0,04;0,04;0,03;0,03;0,02;0,02;0,01;0,01;0,00;2,43;1,84;1,31;0,85;0,50;0,23;0,05;-0,07;-0,13;-0,16;-0,16;-0,15;-0,12;-0,10;-0,07;-0,05;-0,03;-0,02;-0,01;0,00;0,00;0,01;0,01;0,01;0,01;0,01;0,00;0,00;0,00;0,00;0,00;0,00;4,39;6,65;7,39;7,14;6,31;5,20;4,03;2,93;1,98;1,21;0,63;0,21;-0,06;-0,22;-0,30;-0,32;-0,30;-0,26;-0,21;-0,16;-0,11;-0,08;-0,04;-0,02;-0,01;0,01;0,01;0,01;0,01;0,01;0,00;-24,17;-36,61;-40,72;-39,35;-34,76;-28,65;-22,20;-16,14;-10,91;-6,67;-3,46;-1,16;0,35;1,24;1,66;1,76;1,66;1,43;1,16;0,88;0,63;0,42;0,25;0,12;0,03;-0,03;-0,06;-0,07;-0,08;-0,07;
10;180,00;-3,90;0,00;0,00;4,00;30,00;False;33000000,00;12000000,00;0,1094;0,0005879;0,0000000;0,32;0,27;4615,00;2,03;18;1208,28;0,00;0,00;61,10;0,00;0,00;0,00;94,14;5,17;94,28;0,00;20,15;1,11;10,04;0,00;0,00;0,00;0,50;20,15;15,26;10,83;7,09;4,13;1,93;0,41;-0,56;-1,10;-1,32;-1,33;-1,21;-1,02;-0,81;-0,60;-0,42;-0,27;-0,15;-0,06;0,00;0,03;0,05;0,06;0,06;0,05;0,04;0,03;0,02;0,02;0,01;0,01;1,11;0,84;0,59;0,39;0,23;0,11;0,02;-0,03;-0,06;-0,07;-0,07;-0,07;-0,06;-0,04;-0,03;-0,02;-0,01;-0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;3,03;3,37;3,26;2,88;2,37;1,84;1,34;0,90;0,55;0,29;0,10;-0,03;-0,10;-0,14;-0,15;-0,14;-0,12;-0,10;-0,07;-0,05;-0,03;-0,02;-0,01;0,00;0,00;0,00;0,01;0,01;0,01;0,00;-36,40;-55,15;-61,34;-59,27;-52,36;-43,16;-33,43;-24,31;-16,43;-10,05;-5,21;-1,75;0,52;1,86;2,50;2,65;2,49;2,16;1,75;1,33;0,95;0,63;0,37;0,18;0,04;-0,04;-0,09;-0,11;-0,11;-0,10;
10;180,00;-3,90;0,00;0,00;4,00;30,00;False;33000000,00;12000000,00;0,1094;0,0005879;0,0000000;0,32;0,27;4615,00;2,03;19;1041,85;0,00;0,00;31,17;0,00;0,00;0,00;43,54;20,44;48,10;0,00;9,32;4,37;8,66;0,00;0,00;0,00;0,50;9,32;7,06;5,01;3,28;1,91;0,89;0,19;-0,26;-0,51;-0,61;-0,62;-0,56;-0,47;-0,38;-0,28;-0,19;-0,12;-0,07;-0,03;0,00;0,01;0,02;0,03;0,03;0,02;0,02;0,02;0,01;0,01;0,00;0,00;4,37;3,31;2,35;1,54;0,90;0,42;0,09;-0,12;-0,24;-0,29;-0,29;-0,26;-0,22;-0,18;-0,13;-0,09;-0,06;-0,03;-0,01;0,00;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,00;0,00;0,00;0,00;7,90;11,97;13,31;12,87;11,37;9,37;7,26;5,28;3,57;2,18;1,13;0,38;-0,11;-0,40;-0,54;-0,58;-0,54;-0,47;-0,38;-0,29;-0,21;-0,14;-0,08;-0,04;-0,01;0,01;0,02;0,02;0,02;0,02;0,00;-16,83;-25,50;-28,37;-27,41;-24,22;-19,96;-15,46;-11,24;-7,60;-4,65;-2,41;-0,81;0,24;0,86;1,16;1,23;1,15;1,00;0,81;0,62;0,44;0,29;0,17;0,08;0,02;-0,02;-0,04;-0,05;-0,05;-0,05;
10;180,00;-3,90;0,00;0,00;4,00;30,00;False;33000000,00;12000000,00;0,1094;0,0005879;0,0000000;0,32;0,27;4615,00;2,03;20;1406,61;0,00;0,00;28,13;0,00;0,00;0,00;30,36;31,02;43,40;0,00;6,50;6,64;11,69;0,00;0,00;0,00;0,50;6,50;4,92;3,49;2,29;1,33;0,62;0,13;-0,18;-0,35;-0,43;-0,43;-0,39;-0,33;-0,26;-0,19;-0,14;-0,09;-0,05;-0,02;0,00;0,01;0,02;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,00;0,00;6,64;5,03;3,57;2,34;1,36;0,64;0,13;-0,18;-0,36;-0,44;-0,44;-0,40;-0,34;-0,27;-0,20;-0,14;-0,09;-0,05;-0,02;0,00;0,01;0,02;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,00;0,00;0,00;11,99;18,17;20,21;19,53;17,25;14,22;11,02;8,01;5,41;3,31;1,71;0,58;-0,17;-0,61;-0,82;-0,87;-0,82;-0,71;-0,58;-0,44;-0,31;-0,21;-0,12;-0,06;-0,01;0,01;0,03;0,04;0,04;0,03;0,00;-11,74;-17,78;-19,78;-19,11;-16,89;-13,92;-10,78;-7,84;-5,30;-3,24;-1,68;-0,56;0,17;0,60;0,81;0,86;0,80;0,70;0,56;0,43;0,31;0,20;0,12;0,06;0,01;-0,01;-0,03;-0,04;-0,04;-0,03;
10;180,00;-3,90;0,00;0,00;4,00;30,00;False;33000000,00;12000000,00;0,1094;0,0005879;0,0000000;0,32;0,27;4615,00;2,03;21;1507,65;0,00;0,00;27,55;0,00;0,00;0,00;12,00;40,79;42,52;0,00;2,57;8,73;12,53;0,00;0,00;0,00;0,50;2,57;1,95;1,38;0,90;0,53;0,25;0,05;-0,07;-0,14;-0,17;-0,17;-0,15;-0,13;-0,10;-0,08;-0,05;-0,03;-0,02;-0,01;0,00;0,00;0,01;0,01;0,01;0,01;0,01;0,00;0,00;0,00;0,00;0,00;8,73;6,61;4,69;3,07;1,79;0,84;0,18;-0,24;-0,48;-0,57;-0,58;-0,53;-0,44;-0,35;-0,26;-0,18;-0,12;-0,06;-0,03;0,00;0,01;0,02;0,03;0,02;0,02;0,02;0,01;0,01;0,01;0,00;0,00;0,00;15,77;23,89;26,58;25,68;22,69;18,70;14,49;10,53;7,12;4,36;2,26;0,76;-0,23;-0,81;-1,08;-1,15;-1,08;-0,94;-0,76;-0,58;-0,41;-0,27;-0,16;-0,08;-0,02;0,02;0,04;0,05;0,05;0,05;0,00;-4,64;-7,03;-7,82;-7,56;-6,68;-5,50;-4,26;-3,10;-2,09;-1,28;-0,66;-0,22;0,07;0,24;0,32;0,34;0,32;0,28;0,22;0,17;0,12;0,08;0,05;0,02;0,01;-0,01;-0,01;-0,01;-0,01;-0,01;
10;180,00;-3,90;0,00;0,00;4,00;30,00;False;33000000,00;12000000,00;0,1094;0,0005879;0,0000000;0,32;0,27;4615,00;2,03;22;1461,74;0,00;0,00;26,70;0,00;0,00;0,00;25,18;32,61;41,20;0,00;5,39;6,98;12,15;0,00;0,00;0,00;0,50;5,39;4,08;2,90;1,90;1,11;0,52;0,11;-0,15;-0,29;-0,35;-0,36;-0,32;-0,27;-0,22;-0,16;-0,11;-0,07;-0,04;-0,02;0,00;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,00;0,00;0,00;6,98;5,29;3,75;2,46;1,43;0,67;0,14;-0,19;-0,38;-0,46;-0,46;-0,42;-0,35;-0,28;-0,21;-0,15;-0,09;-0,05;-0,02;0,00;0,01;0,02;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,00;0,00;0,00;12,61;19,10;21,25;20,53;18,14;14,95;11,58;8,42;5,69;3,48;1,80;0,61;-0,18;-0,65;-0,87;-0,92;-0,86;-0,75;-0,61;-0,46;-0,33;-0,22;-0,13;-0,06;-0,02;0,01;0,03;0,04;0,04;0,04;0,00;-9,74;-14,75;-16,41;-15,85;-14,01;-11,54;-8,94;-6,50;-4,39;-2,69;-1,39;-0,47;0,14;0,50;0,67;0,71;0,67;0,58;0,47;0,36;0,25;0,17;0,10;0,05;0,01;-0,01;-0,02;-0,03;-0,03;-0,03;
10;180,00;-3,90;0,00;0,00;4,00;30,00;False;33000000,00;12000000,00;0,1094;0,0005879;0,0000000;0,32;0,27;4615,00;2,03;23;1609,52;0,00;0,00;48,55;0,00;0,00;0,00;70,04;26,59;74,92;0,00;14,99;5,69;13,38;0,00;0,00;0,00;0,50;14,99;11,35;8,06;5,27;3,07;1,44;0,30;-0,42;-0,82;-0,98;-0,99;-0,90;-0,76;-0,60;-0,45;-0,31;-0,20;-0,11;-0,05;0,00;0,02;0,04;0,04;0,04;0,04;0,03;0,02;0,02;0,01;0,01;0,00;5,69;4,31;3,06;2,00;1,17;0,55;0,12;-0,16;-0,31;-0,37;-0,38;-0,34;-0,29;-0,23;-0,17;-0,12;-0,08;-0,04;-0,02;0,00;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,00;0,00;0,00;0,00;10,28;15,57;17,32;16,74;14,79;12,19;9,44;6,87;4,64;2,84;1,47;0,49;-0,15;-0,53;-0,71;-0,75;-0,70;-0,61;-0,49;-0,38;-0,27;-0,18;-0,10;-0,05;-0,01;0,01;0,03;0,03;0,03;0,03;0,00;-27,08;-41,03;-45,63;-44,10;-38,96;-32,11;-24,87;-18,09;-12,22;-7,48;-3,87;-1,30;0,39;1,39;1,86;1,98;1,86;1,61;1,30;0,99;0,71;0,47;0,28;0,13;0,03;-0,03;-0,07;-0,08;-0,08;-0,08;
10;180,00;-3,90;0,00;0,00;4,00;30,00;False;33000000,00;12000000,00;0,1094;0,0005879;0,0000000;0,32;0,27;4615,00;2,03;24;1916,90;0,00;0,00;63,74;0,00;0,00;0,00;95,69;22,77;98,36;0,00;20,48;4,87;15,93;0,00;0,00;0,00;0,50;20,48;15,51;11,00;7,21;4,20;1,97;0,42;-0,57;-1,12;-1,35;-1,36;-1,23;-1,04;-0,82;-0,61;-0,43;-0,27;-0,15;-0,06;0,00;0,03;0,05;0,06;0,06;0,05;0,04;0,03;0,02;0,02;0,01;0,01;4,87;3,69;2,62;1,71;1,00;0,47;0,10;-0,14;-0,27;-0,32;-0,32;-0,29;-0,25;-0,20;-0,15;-0,10;-0,06;-0,04;-0,02;0,00;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,00;0,00;0,00;0,00;8,80;13,34;14,83;14,34;12,66;10,44;8,09;5,88;3,97;2,43;1,26;0,42;-0,13;-0,45;-0,61;-0,64;-0,60;-0,52;-0,42;-0,32;-0,23;-0,15;-0,09;-0,04;-0,01;0,01;0,02;0,03;0,03;0,03;0,00;-37,00;-56,05;-62,34;-60,24;-53,22;-43,87;-33,98;-24,71;-16,70;-10,22;-5,29;-1,78;0,53;1,89;2,54;2,70;2,54;2,19;1,78;1,35;0,97;0,64;0,38;0,18;0,04;-0,04;-0,09;-0,11;-0,12;-0,11;
10;180,00;-3,90;0,00;0,00;4,00;30,00;False;33000000,00;12000000,00;0,1094;0,0005879;0,0000000;0,32;0,27;4615,00;2,03;25;1492,41;0,00;0,00;31,45;0,00;0,00;0,00;11,34;47,19;48,53;0,00;2,43;10,10;12,40;0,00;0,00;0,00;0,50;2,43;1,84;1,30;0,85;0,50;0,23;0,05;-0,07;-0,13;-0,16;-0,16;-0,15;-0,12;-0,10;-0,07;-0,05;-0,03;-0,02;-0,01;0,00;0,00;0,01;0,01;0,01;0,01;0,01;0,00;0,00;0,00;0,00;0,00;10,10;7,65;5,43;3,55;2,07;0,97;0,20;-0,28;-0,55;-0,66;-0,67;-0,61;-0,51;-0,41;-0,30;-0,21;-0,13;-0,07;-0,03;0,00;0,02;0,03;0,03;0,03;0,03;0,02;0,02;0,01;0,01;0,01;0,00;0,00;18,24;27,64;30,74;29,71;26,24;21,63;16,76;12,19;8,23;5,04;2,61;0,88;-0,26;-0,93;-1,25;-1,33;-1,25;-1,08;-0,88;-0,67;-0,48;-0,31;-0,19;-0,09;-0,02;0,02;0,05;0,06;0,06;0,05;0,00;-4,39;-6,64;-7,39;-7,14;-6,31;-5,20;-4,03;-2,93;-1,98;-1,21;-0,63;-0,21;0,06;0,22;0,30;0,32;0,30;0,26;0,21;0,16;0,11;0,08;0,04;0,02;0,01;-0,01;-0,01;-0,01;-0,01;-0,01;
10;180,00;-3,90;0,00;0,00;4,00;30,00;False;33000000,00;12000000,00;0,1094;0,0005879;0,0000000;0,32;0,27;4615,00;2,03;26;974,44;0,00;0,00;40,63;0,00;0,00;0,00;62,63;2,89;62,69;0,00;13,40;0,62;8,10;0,00;0,00;0,00;0,50;13,40;10,15;7,20;4,72;2,75;1,29;0,27;-0,37;-0,73;-0,88;-0,89;-0,81;-0,68;-0,54;-0,40;-0,28;-0,18;-0,10;-0,04;0,00;0,02;0,03;0,04;0,04;0,03;0,03;0,02;0,02;0,01;0,01;0,00;0,62;0,47;0,33;0,22;0,13;0,06;0,01;-0,02;-0,03;-0,04;-0,04;-0,04;-0,03;-0,02;-0,02;-0,01;-0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,12;1,69;1,88;1,82;1,61;1,33;1,03;0,75;0,50;0,31;0,16;0,05;-0,02;-0,06;-0,08;-0,08;-0,08;-0,07;-0,05;-0,04;-0,03;-0,02;-0,01;-0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-24,21;-36,69;-40,80;-39,43;-34,83;-28,71;-22,24;-16,17;-10,93;-6,69;-3,46;-1,16;0,35;1,24;1,66;1,77;1,66;1,44;1,16;0,89;0,63;0,42;0,25;0,12;0,03;-0,03;-0,06;-0,07;-0,08;-0,07;
10;180,00;-3,90;0,00;0,00;4,00;30,00;False;33000000,00;12000000,00;0,1094;0,0005879;0,0000000;0,32;0,27;4615,00;2,03;27;1121,67;0,00;0,00;66,46;0,00;0,00;0,00;102,54;-2,04;102,56;0,00;21,95;-0,44;9,32;0,00;0,00;0,00;0,50;21,95;16,62;11,79;7,72;4,50;2,11;0,44;-0,61;-1,20;-1,44;-1,45;-1,32;-1,12;-0,88;-0,66;-0,46;-0,29;-0,16;-0,07;0,00;0,04;0,06;0,06;0,06;0,05;0,05;0,04;0,03;0,02;0,01;0,01;-0,44;-0,33;-0,24;-0,15;-0,09;-0,04;-0,01;0,01;0,02;0,03;0,03;0,03;0,02;0,02;0,01;0,01;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-0,79;-1,20;-1,33;-1,29;-1,14;-0,94;-0,73;-0,53;-0,36;-0,22;-0,11;-0,04;0,01;0,04;0,05;0,06;0,05;0,05;0,04;0,03;0,02;0,01;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-39,65;-60,07;-66,81;-64,56;-57,04;-47,01;-36,42;-26,48;-17,90;-10,95;-5,67;-1,91;0,57;2,03;2,73;2,89;2,72;2,35;1,90;1,45;1,04;0,68;0,40;0,19;0,05;-0,05;-0,10;-0,12;-0,12;-0,11;
